friendNum,movRecNum,precisionRate,recallRate,absCoverageRate,refCoverageRate,timecost
10,10,2.7985,25.4754,0.1772,5.6230,1218.0690
10,20,4.7331,21.5656,0.3089,4.9016,1122.0117
10,30,6.3897,19.4208,0.4302,4.5519,1218.0840
10,40,8.1423,18.5697,0.5516,4.3770,1228.4757
10,50,9.1991,16.7508,0.6952,4.4131,1207.3930
20,10,3.1586,28.7377,0.0863,2.7377,1859.8284
20,20,5.7031,25.9836,0.1534,2.4344,1832.6371
20,30,7.4155,22.5410,0.2350,2.4863,1905.2865
20,40,9.1082,20.7500,0.3032,2.4057,1932.7731
20,50,10.6377,19.3607,0.3724,2.3639,1911.3858
30,10,3.3255,30.3115,0.0532,1.6885,2566.3753
30,20,5.6658,25.8033,0.1007,1.5984,2589.7080
